[array(166.33182, dtype=float32), 9333]
[array(212.72978, dtype=float32), 12088]
[array(157.2045, dtype=float32), 8512]
[array(193.52693, dtype=float32), 10013]
[array(216.49313, dtype=float32), 11323]
[array(180.33337, dtype=float32), 9074]
[array(241.57053, dtype=float32), 12905]
[array(153.45967, dtype=float32), 8390]
[array(160.27603, dtype=float32), 8845]
[array(202.70465, dtype=float32), 11103]
[array(243.26433, dtype=float32), 12840]
[array(210.46631, dtype=float32), 11169]
[array(190.05716, dtype=float32), 10083]
[array(176.9385, dtype=float32), 9165]
[array(183.14807, dtype=float32), 10001]
[array(171.97682, dtype=float32), 8951]
[array(211.96902, dtype=float32), 10810]
[array(193.49939, dtype=float32), 10453]
[array(229.44711, dtype=float32), 12597]
[array(170.84872, dtype=float32), 10200]
[array(173.7239, dtype=float32), 9215]
[array(198.6719, dtype=float32), 10643]
[array(163.47437, dtype=float32), 9013]
[array(210.45454, dtype=float32), 12020]
[array(188.54578, dtype=float32), 9716]
[array(186.03316, dtype=float32), 9046]
[array(175.67209, dtype=float32), 9024]
[array(119.53794, dtype=float32), 6659]
[array(158.17245, dtype=float32), 8769]
[array(192.98415, dtype=float32), 10734]
[array(208.12466, dtype=float32), 10448]
[array(215.13469, dtype=float32), 11402]
[array(206.1594, dtype=float32), 10785]
[array(216.2457, dtype=float32), 11540]
[array(145.75563, dtype=float32), 7681]
[array(184.7298, dtype=float32), 10066]
[array(200.9409, dtype=float32), 10831]
[array(142.45724, dtype=float32), 7623]
[array(218.91435, dtype=float32), 11516]
[array(156.64896, dtype=float32), 9096]
[array(179.63638, dtype=float32), 9760]
[array(217.74243, dtype=float32), 11645]
[array(196.43567, dtype=float32), 10232]
[array(186.19429, dtype=float32), 9873]
[array(201.1942, dtype=float32), 10869]
[array(169.59402, dtype=float32), 8508]
[array(166.785, dtype=float32), 9722]
[array(159.15875, dtype=float32), 9472]
[array(180.9204, dtype=float32), 9918]
[array(178.32404, dtype=float32), 9810]
