[array(355.5061, dtype=float32), 16633]
[array(360.57794, dtype=float32), 15173]
[array(292.09213, dtype=float32), 13983]
[array(336.81656, dtype=float32), 15124]
[array(283.49054, dtype=float32), 13872]
[array(292.5783, dtype=float32), 12877]
[array(358.14603, dtype=float32), 17137]
[array(336.30975, dtype=float32), 15866]
[array(296.61542, dtype=float32), 14191]
[array(374.1557, dtype=float32), 17588]
[array(340.76276, dtype=float32), 14917]
[array(294.58533, dtype=float32), 14309]
[array(345.13644, dtype=float32), 15269]
[array(341.32422, dtype=float32), 14888]
[array(358.6269, dtype=float32), 16927]
[array(320.92572, dtype=float32), 15565]
[array(285.2087, dtype=float32), 14070]
[array(275.13565, dtype=float32), 11937]
[array(358.05438, dtype=float32), 16888]
[array(340.853, dtype=float32), 15513]
[array(293.64117, dtype=float32), 13760]
[array(335.10834, dtype=float32), 16541]
[array(371.14798, dtype=float32), 17708]
[array(331.63922, dtype=float32), 16879]
[array(205.03793, dtype=float32), 9910]
[array(335.2531, dtype=float32), 14681]
[array(320.71906, dtype=float32), 15393]
[array(307.7388, dtype=float32), 15069]
[array(331.87567, dtype=float32), 16121]
[array(286.63428, dtype=float32), 13022]
[array(327.97736, dtype=float32), 14409]
[array(351.54373, dtype=float32), 14797]
[array(316.41327, dtype=float32), 14719]
[array(300.06393, dtype=float32), 14107]
[array(286.0617, dtype=float32), 12130]
[array(383.37042, dtype=float32), 17967]
[array(295.78995, dtype=float32), 14066]
[array(320.27237, dtype=float32), 14917]
[array(365.4896, dtype=float32), 17718]
[array(302.69305, dtype=float32), 13019]
[array(376.38358, dtype=float32), 17859]
[array(334.0573, dtype=float32), 15118]
[array(321.69382, dtype=float32), 15141]
[array(291.85904, dtype=float32), 13801]
[array(342.8897, dtype=float32), 15539]
[array(365.4626, dtype=float32), 15957]
[array(332.27576, dtype=float32), 16627]
[array(274.57373, dtype=float32), 12346]
[array(342.31158, dtype=float32), 15816]
[array(339.5332, dtype=float32), 15311]
