[array(391.3462295, dtype=float32), 17556]
[array(333.2789, dtype=float32), 16616]
[array(367.06012, dtype=float32), 15752]
[array(510.98754, dtype=float32), 16176]
[array(458.1557, dtype=float32), 12877]
[array(520.546, dtype=float32), 13754]
[array(400.9557, dtype=float32), 16121]
[array(376.73764, dtype=float32), 15069]
[array(452.73764, dtype=float32), 12130]
[array(365.11369, dtype=float32), 17787]
[array(385.64977, dtype=float32), 16012]
[array(385.64977, dtype=float32), 13801]
[array(393.608861, dtype=float32), 14717]
[array(381.80278, dtype=float32), 18763]
[array(432.624122, dtype=float32), 18779]
[array(385.908648, dtype=float32), 15642]
[array(342.444033, dtype=float32), 16121]
[array(406.9479, dtype=float32), 9910]
[array(338.076267, dtype=float32), 15512]
[array(425.866257, dtype=float32), 17365]
[array(403.184228, dtype=float32), 14689]
[array(409.931537, dtype=float32), 15311]
[array(393.738094, dtype=float32), 15957]
[array(406.016589, dtype=float32), 14066]
[array(410.458232, dtype=float32), 18985]
[array(410.618624, dtype=float32), 18633]
[array(416.752631, dtype=float32), 17895]
[array(420.23173, dtype=float32), 17363]
[array(436.0509861, dtype=float32), 18954]
[array(433.37684247, dtype=float32), 18744]
[array(423.79195094, dtype=float32), 15393]
[array(410.0183139, dtype=float32), 13760]
[array(370.350277, dtype=float32), 15512]
[array(404.423482, dtype=float32), 17963]
[array(444.387093, dtype=float32), 18852]
[array(454.02789128, dtype=float32), 14687]
[array(442.8076505, dtype=float32), 18934]
[array(362.3565071, dtype=float32), 16195]
[array(448.051404266, dtype=float32), 17894]
[array(408.2551237, dtype=float32), 17641]
[array(390.3664669, dtype=float32), 18202]
[array(418.24386379, dtype=float32), 14630]
[array(476.072364, dtype=float32), 17625]
[array(463.7232998, dtype=float32), 18634]
[array(496.9201279, dtype=float32), 18333]
[array(492.3744899, dtype=float32), 17620]
[array(507.58496, dtype=float32), 15023]
[array(510.902544, dtype=float32), 18634]
[array(541.044436, dtype=float32), 18444]
[array(552.060959, dtype=float32), 18451]
